Program,Number of seeded faults,Number of test cases,Number of detected fault,Coverage rate,Number of test cases,Number of detected fault  (delete 20%),Coverage rate,Number of test cases,Number of detected fault  (delete 40%),Coverage rate,Number of test cases,Number of detected fault  (delete 60%),Coverage rate,Number of test cases,Number of detected fault  (delete 80%),Coverage rate
Program1(path),5,36,1,100.0%,28,1,80.0%,20,1,60.0%,12,1,40.0%,4,1,20.0%
Program 1(multiple),5,16,5,100.0%,12,5,80.0%,8,5,60.0%,4,5,40.0%,1,1,20.0%
Program1(path),5,36,2,100.0%,28,2,80.0%,20,2,60.0%,12,2,40.0%,4,2,20.0%
Program 1(multiple),5,16,5,100.0%,12,5,80.0%,8,4,60.0%,4,4,40.0%,1,1,20.0%
Program1(path),5,36,2,100.0%,28,2,80.0%,20,2,60.0%,12,2,40.0%,4,2,20.0%
Program 1(multiple),5,16,5,100.0%,12,5,80.0%,8,4,60.0%,4,3,40.0%,1,3,20.0%
Program1(path),5,36,3,100.0%,28,3,80.0%,20,3,60.0%,12,3,40.0%,4,2,20.0%
Program 1(multiple),5,16,5,100.0%,12,5,80.0%,8,5,60.0%,4,2,40.0%,1,1,20.0%
Program1(path),5,36,3,100.0%,28,3,80.0%,20,3,60.0%,12,3,40.0%,4,1,20.0%
Program 1(multiple),5,16,5,100.0%,12,5,80.0%,8,3,60.0%,4,2,40.0%,1,2,20.0%
""
Program2(path),5,144,2,100.0%,115,2,80.0%,86,2,60.0%,57,2,40.0%,28,2,20.0%
Program 2(multiple),5,16,5,100.0%,12,5,80.0%,8,3,60.0%,4,2,40.0%,1,0,20.0%
Program2(path),5,144,2,100.0%,115,2,80.0%,86,2,60.0%,57,2,40.0%,28,2,20.0%
Program 2(multiple),5,16,5,100.0%,12,4,80.0%,8,2,60.0%,4,1,40.0%,1,0,20.0%
Program2(path),5,144,3,100.0%,115,3,80.0%,86,3,60.0%,57,3,40.0%,28,3,20.0%
Program 2(multiple),5,16,5,100.0%,12,5,80.0%,8,4,60.0%,4,3,40.0%,1,0,20.0%
Program2(path),5,144,2,100.0%,115,2,80.0%,86,2,60.0%,57,2,40.0%,28,2,20.0%
Program 2(multiple),5,16,5,100.0%,12,4,80.0%,8,3,60.0%,4,3,40.0%,1,2,20.0%
Program2(path),5,144,3,100.0%,115,3,80.0%,86,3,60.0%,57,3,40.0%,28,3,20.0%
Program 2(multiple),5,16,5,100.0%,12,5,80.0%,8,5,60.0%,4,3,40.0%,1,2,20.0%
""
Program3(path),3,144,3,100.0%,115,3,80.0%,86,3,60.0%,57,3,40.0%,28,3,20.0%
Program 3(multiple),5,32,5,100.0%,25,5,80.0%,18,5,60.0%,11,5,40.0%,4,5,20.0%
Program3(path),3,144,3,100.0%,115,3,80.0%,86,3,60.0%,57,3,40.0%,28,3,20.0%
Program 3(multiple),5,32,5,100.0%,25,5,80.0%,18,5,60.0%,11,5,40.0%,4,4,20.0%
Program3(path),3,144,4,100.0%,115,4,80.0%,86,4,60.0%,57,4,40.0%,28,4,20.0%
Program 3(multiple),5,32,5,100.0%,25,5,80.0%,18,5,60.0%,11,5,40.0%,4,3,20.0%
Program3(path),3,144,3,100.0%,115,3,80.0%,86,3,60.0%,57,3,40.0%,28,3,20.0%
Program 3(multiple),5,32,5,100.0%,25,5,80.0%,18,5,60.0%,11,5,40.0%,4,4,20.0%
Program3(path),3,144,3,100.0%,115,3,80.0%,86,3,60.0%,57,3,40.0%,28,3,20.0%
Program 3(multiple),5,32,5,100.0%,25,5,80.0%,18,5,60.0%,11,5,40.0%,4,3,20.0%
""
Program4(path),5,27,2,100.0%,21,2,80.0%,15,2,60.0%,9,2,40.0%,3,1,20.0%
Program 4(multiple),5,16,5,100.0%,12,5,80.0%,8,4,60.0%,4,2,40.0%,1,0,20.0%
Program4(path),5,27,2,100.0%,21,2,80.0%,15,2,60.0%,9,2,40.0%,3,2,20.0%
Program 4(multiple),5,16,5,100.0%,12,5,80.0%,8,5,60.0%,4,3,40.0%,1,2,20.0%
Program4(path),5,27,2,100.0%,21,2,80.0%,15,2,60.0%,9,2,40.0%,3,1,20.0%
Program 4(multiple),5,16,5,100.0%,12,5,80.0%,8,4,60.0%,4,4,40.0%,1,2,20.0%
Program4(path),5,27,1,100.0%,21,1,80.0%,15,1,60.0%,9,1,40.0%,3,0,20.0%
Program 4(multiple),5,16,5,100.0%,12,5,80.0%,8,5,60.0%,4,3,40.0%,1,0,20.0%
Program4(path),5,27,2,100.0%,21,2,80.0%,15,2,60.0%,9,2,40.0%,3,2,20.0%
Program 4(multiple),5,16,5,100.0%,12,4,80.0%,8,3,60.0%,4,2,40.0%,1,0,20.0%
